image,blur_score,blur_category,rl_psnr,rl_ssim,rl_runtime_sec,gan_psnr,gan_ssim,gan_runtime_sec
000093.png,16.51832902224388,high_blur,21.732300515519,0.683098426260924,4.079211950302124,5.6100498977536875,0.32190524309149227,0.0715174674987793
000094.png,26.87974283820141,high_blur,23.100404172638743,0.7671804914000931,4.082241773605347,5.614411083576426,0.31950759914002996,0.07318425178527832
000095.png,55.18218044195764,high_blur,22.950867708003095,0.7619074505911553,4.092926263809204,5.593478427631001,0.31576401495444495,0.07301592826843262
000096.png,88.51114117957223,high_blur,19.509416314433377,0.6793358935683627,4.07029390335083,5.604747666854662,0.3109727805769644,0.07098031044006348
000097.png,39.33808267418069,high_blur,19.62849771808433,0.6725848323987792,4.043269395828247,5.632693518268848,0.3172744836962988,0.07019329071044922
000098.png,64.17400680659611,high_blur,20.91321079237868,0.7198990669394482,4.103915691375732,5.613884743065496,0.3132046708849187,0.07942628860473633
000099.png,57.63285946675993,high_blur,24.268043814950868,0.8098929554914739,4.171559810638428,5.620510640488287,0.3140606456946902,0.08124351501464844
000100.png,33.298231336730204,high_blur,21.929464500211196,0.7341356181486856,4.102651596069336,5.591394617815471,0.3173720592573824,0.07656121253967285
000101.png,34.20855900600103,high_blur,19.06017517043869,0.5391474007524896,4.084170579910278,7.780627996353654,0.3955521128838903,0.07214045524597168
000102.png,45.23719832695381,high_blur,18.804777995043043,0.5235726419433754,4.007568836212158,7.729279255564858,0.3911919152436755,0.08634829521179199
000103.png,41.677671264807394,high_blur,18.8257211636871,0.5258900220502375,4.065799951553345,7.6849021051127195,0.3884028221525696,0.08419108390808105
000104.png,22.990774051802823,high_blur,19.33841260575811,0.5514422788272759,3.9074654579162598,7.677637249003478,0.38991202286034443,0.07602548599243164
000105.png,34.9182819644775,high_blur,18.997329158302957,0.5305185016234529,3.9337050914764404,7.6415533194558884,0.3864729376281978,0.08320283889770508
000106.png,39.72453283512329,high_blur,18.851272351015613,0.5227053479233142,3.9388821125030518,7.589473761608341,0.3820858030821232,0.08289504051208496
000107.png,41.378470329209335,high_blur,18.935979121051933,0.5319618081652155,3.960435390472412,7.540931863803792,0.37864380308920675,0.07838559150695801
000108.png,28.6616798617469,high_blur,19.211114239572048,0.5423932034038246,3.9196743965148926,7.566490395894217,0.37798409412535733,0.07485032081604004
000109.png,37.82881968883821,high_blur,18.9024443833959,0.5295763112619281,3.920398712158203,7.5730556657214345,0.3772845053532732,0.08139824867248535
000110.png,20.938397541977448,high_blur,20.187606691589718,0.5847446578022828,3.9114749431610107,7.604996912364359,0.3817885960518134,0.08154678344726562
000111.png,22.27122326388889,high_blur,19.858054689556813,0.5647051212390581,3.9072203636169434,7.593451243716486,0.37889319573498337,0.0797574520111084
000112.png,31.856303993389947,high_blur,19.097863483260195,0.5291048452409098,3.920012950897217,7.565977081853541,0.37341855950207015,0.0736243724822998
000113.png,25.736463593112127,high_blur,19.3423052363391,0.5376537099809924,3.905604839324951,7.567129261484228,0.37086212538393337,0.07869744300842285
000114.png,30.78648110618591,high_blur,19.001068380653876,0.5209167087887254,3.8734071254730225,7.565012706082457,0.371765227207763,0.08305764198303223
000115.png,22.498987848536178,high_blur,20.349612845174395,0.5862163775084545,3.9121954441070557,7.588582818611994,0.3750029919243848,0.06352090835571289
000116.png,23.453242463428598,high_blur,19.756245991474678,0.5547592664456257,3.899125814437866,7.577807242448663,0.37166441348980794,0.07930970191955566
000117.png,22.789250756100092,high_blur,20.03674500722996,0.5653340633530782,3.902153968811035,7.57998414666496,0.36883911453140444,0.06957054138183594
000118.png,24.5668519794311,high_blur,19.939707264976544,0.5591078145225744,3.9070794582366943,7.593740584211915,0.3677177001940156,0.08344340324401855
000119.png,25.70995488300912,high_blur,19.40572396271841,0.5292278566602477,3.8682878017425537,7.574572168750398,0.35780678954584216,0.07961821556091309
000120.png,34.3330586251989,high_blur,19.128650641143572,0.5184089565098149,3.9106812477111816,7.544082547170849,0.359052618004455,0.06887364387512207
000121.png,43.91172889170705,high_blur,18.687271539808886,0.49349818477988183,3.8715996742248535,7.499046678053229,0.3541076090352031,0.07977628707885742
000122.png,36.35678085327151,high_blur,18.98639520417976,0.5130615560793191,3.877061128616333,7.483320317870112,0.3485843375793567,0.06957864761352539
000123.png,44.221071643564436,high_blur,18.74109734949506,0.49580640335568243,3.8842766284942627,7.465460920194991,0.34626646883444917,0.0714879035949707
000124.png,33.77931264282862,high_blur,19.031548794470865,0.5093375299196345,3.890399694442749,7.45213561925691,0.34437723203256126,0.0704958438873291
000125.png,29.13401217973496,high_blur,19.237484856801846,0.5178034391728366,3.868889093399048,7.435580040227817,0.34460447866190597,0.07876348495483398
000126.png,29.89922163730082,high_blur,19.053318165359055,0.5045994072011373,3.8722665309906006,7.411371483408082,0.3424176131779868,0.07930779457092285
000127.png,24.240815687372653,high_blur,19.746086853369082,0.5427326576606072,3.8995869159698486,7.464804411008711,0.34647235523981634,0.06701946258544922
000128.png,22.265809637186255,high_blur,20.038991744713734,0.5498758020854654,3.8623085021972656,7.486109327871283,0.3457084030007076,0.0722196102142334
000129.png,20.283939933719164,high_blur,20.647297425756136,0.5789721269631343,3.8692266941070557,7.5624941543202535,0.34879558505906016,0.08227229118347168
000130.png,23.59682601156233,high_blur,19.689860094023498,0.5339926328954873,3.8578855991363525,7.621831581979053,0.35246020629028996,0.07966852188110352
000131.png,28.853906537598753,high_blur,19.228366529214313,0.519741313725288,3.892043352127075,7.659725329148283,0.34967443008161425,0.07935190200805664
000132.png,38.573225503761385,high_blur,18.90402768336767,0.49599778876695116,3.8752899169921875,7.650175528008716,0.3484147237556889,0.07905411720275879
000133.png,42.68039305430753,high_blur,18.937181938668132,0.49938247595430596,3.8837249279022217,7.641425641612523,0.34711482846705366,0.07142186164855957
000134.png,34.48410197998682,high_blur,19.119009744125478,0.5033127198130044,3.904160261154175,7.67261121245213,0.3480714239669193,0.06756114959716797
000135.png,39.77221885907091,high_blur,18.87297964806835,0.4884305733794918,3.8905625343322754,7.66669940058746,0.34417789022001793,0.0800018310546875
000136.png,29.393632750606535,high_blur,19.3453198290208,0.5111397826059415,3.9247848987579346,7.686342523599135,0.34585713596187956,0.0725700855255127
000137.png,25.9442187391493,high_blur,19.65317366851988,0.5238094012539956,3.8927419185638428,7.699712925548566,0.3444075192852879,0.06604576110839844
000138.png,30.493425657102794,high_blur,19.342487327705634,0.5083092538933522,3.8777406215667725,7.694406952822584,0.3424418749825271,0.07895517349243164
000139.png,28.98761146373984,high_blur,19.437858283698578,0.512901875000263,3.9588940143585205,7.666731899723947,0.3361429626721802,0.06692719459533691
000140.png,43.88274148218603,high_blur,18.855731066416816,0.4839607096387833,3.8876953125,7.579746093009094,0.3288675764102221,0.07510828971862793
